"date","year","month","US_Supply","ECB_Supply","US_EPU","ECB_EPU","hist_rate","FDI_Euro area_EMU","FDI_United States_USA","GDP_Euro area_EMU","GDP_United States_USA","Infl_Euro area_EMU","Infl_United States_USA","BOP_Euro area_EMU","BOP_United States_USA","UnEmp_Euro area_EMU","UnEmp_United States_USA","HI_Eurozone","HI_USA"
1959-04-01,1959,"Apr",1072839.56949252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-08-01,1959,"Aug",1077057.99457906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-12-01,1959,"Dec",1077995.42237607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-02-01,1959,"Feb",1071232.55041194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-01-01,1959,"Jan",1070496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-07-01,1959,"Jul",1076254.48503877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-06-01,1959,"Jun",1075517.93462683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-03-01,1959,"Mar",1072236.9373373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-05-01,1959,"May",1074245.71118803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-11-01,1959,"Nov",1077526.70847757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-10-01,1959,"Oct",1077124.95370742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-09-01,1959,"Sep",1077258.87196413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960-04-01,1960,"Apr",1079535.4823283,NA,NA,NA,NA,NA,NA,NA,NA,1.741180847,1.457975986,NA,NA,NA,NA,NA,NA
1960-08-01,1960,"Aug",1084088.70305663,NA,NA,NA,NA,NA,NA,NA,NA,1.741180847,1.457975986,NA,NA,NA,NA,NA,NA
1960-12-01,1960,"Dec",1087771.4551163,NA,NA,NA,NA,NA,NA,NA,NA,1.741180847,1.457975986,NA,NA,NA,NA,NA,NA
1960-02-01,1960,"Feb",1078397.17714622,NA,NA,NA,NA,NA,NA,NA,NA,1.741180847,1.457975986,NA,NA,NA,NA,NA,NA
1960-01-01,1960,"Jan",1078263.2588895,NA,NA,NA,NA,NA,NA,NA,NA,1.741180847,1.457975986,NA,NA,NA,NA,NA,NA
1960-07-01,1960,"Jul",1082213.84746261,NA,NA,NA,NA,NA,NA,NA,NA,1.741180847,1.457975986,NA,NA,NA,NA,NA,NA
1960-06-01,1960,"Jun",1081008.58315217,NA,NA,NA,NA,NA,NA,NA,NA,1.741180847,1.457975986,NA,NA,NA,NA,NA,NA
1960-03-01,1960,"Mar",1078999.80930144,NA,NA,NA,NA,NA,NA,NA,NA,1.741180847,1.457975986,NA,NA,NA,NA,NA,NA
1960-05-01,1960,"May",1080071.15535516,NA,NA,NA,NA,NA,NA,NA,NA,1.741180847,1.457975986,NA,NA,NA,NA,NA,NA
1960-11-01,1960,"Nov",1086767.06819094,NA,NA,NA,NA,NA,NA,NA,NA,1.741180847,1.457975986,NA,NA,NA,NA,NA,NA
1960-10-01,1960,"Oct",1085829.64039393,NA,NA,NA,NA,NA,NA,NA,NA,1.741180847,1.457975986,NA,NA,NA,NA,NA,NA
1960-09-01,1960,"Sep",1085093.08998199,NA,NA,NA,NA,NA,NA,NA,NA,1.741180847,1.457975986,NA,NA,NA,NA,NA,NA
1961-04-01,1961,"Apr",1092793.38974314,NA,NA,NA,NA,NA,NA,5.747169099,2.3,1.870849614,1.070724148,NA,NA,NA,NA,NA,NA
1961-08-01,1961,"Aug",1097949.24262668,NA,NA,NA,NA,NA,NA,5.747169099,2.3,1.870849614,1.070724148,NA,NA,NA,NA,NA,NA
1961-12-01,1961,"Dec",1103239.01376695,NA,NA,NA,NA,NA,NA,5.747169099,2.3,1.870849614,1.070724148,NA,NA,NA,NA,NA,NA
1961-02-01,1961,"Feb",1090516.77937897,NA,NA,NA,NA,NA,NA,5.747169099,2.3,1.870849614,1.070724148,NA,NA,NA,NA,NA,NA
1961-01-01,1961,"Jan",1088909.76029838,NA,NA,NA,NA,NA,NA,5.747169099,2.3,1.870849614,1.070724148,NA,NA,NA,NA,NA,NA
1961-07-01,1961,"Jul",1096610.06005953,NA,NA,NA,NA,NA,NA,5.747169099,2.3,1.870849614,1.070724148,NA,NA,NA,NA,NA,NA
1961-06-01,1961,"Jun",1095739.59139088,NA,NA,NA,NA,NA,NA,5.747169099,2.3,1.870849614,1.070724148,NA,NA,NA,NA,NA,NA
1961-03-01,1961,"Mar",1091722.04368941,NA,NA,NA,NA,NA,NA,5.747169099,2.3,1.870849614,1.070724148,NA,NA,NA,NA,NA,NA
1961-05-01,1961,"May",1094333.44969536,NA,NA,NA,NA,NA,NA,5.747169099,2.3,1.870849614,1.070724148,NA,NA,NA,NA,NA,NA
1961-11-01,1961,"Nov",1101832.87207143,NA,NA,NA,NA,NA,NA,5.747169099,2.3,1.870849614,1.070724148,NA,NA,NA,NA,NA,NA
